GEOID,NAME,citizen,total_pop,citizenship_perc,non_citizenship_perc
06037134904,"Census Tract 1349.04, Los Angeles County, California",866,867,99.88,0.12000000000000455
06037134905,"Census Tract 1349.05, Los Angeles County, California",517,686,75.36,24.64
06037134906,"Census Tract 1349.06, Los Angeles County, California",306,404,75.74,24.260000000000005
06037134907,"Census Tract 1349.07, Los Angeles County, California",336,495,67.88,32.120000000000005
06037135102,"Census Tract 1351.02, Los Angeles County, California",278,344,80.81,19.189999999999998
06037135111,"Census Tract 1351.11, Los Angeles County, California",352,608,57.89,42.11
06037135113,"Census Tract 1351.13, Los Angeles County, California",312,669,46.64,53.36
06037135115,"Census Tract 1351.15, Los Angeles County, California",290,767,37.81,62.19
06037135116,"Census Tract 1351.16, Los Angeles County, California",80,187,42.78,57.22
06037135201,"Census Tract 1352.01, Los Angeles County, California",299,405,73.83,26.17
06037135202,"Census Tract 1352.02, Los Angeles County, California",509,634,80.28,19.72
06037135204,"Census Tract 1352.04, Los Angeles County, California",771,899,85.76,14.239999999999995
06037135205,"Census Tract 1352.05, Los Angeles County, California",204,204,100,0
06037137000,"Census Tract 1370, Los Angeles County, California",304,400,76,24
06037137103,"Census Tract 1371.03, Los Angeles County, California",785,1080,72.69,27.310000000000002
06037137104,"Census Tract 1371.04, Los Angeles County, California",150,197,76.14,23.86
06037137202,"Census Tract 1372.02, Los Angeles County, California",356,690,51.59,48.41
06037137203,"Census Tract 1372.03, Los Angeles County, California",263,348,75.57,24.430000000000007
06037137301,"Census Tract 1373.01, Los Angeles County, California",133,133,100,0
06037137302,"Census Tract 1373.02, Los Angeles County, California",118,192,61.46,38.54
06037137401,"Census Tract 1374.01, Los Angeles County, California",213,244,87.3,12.700000000000003
06037137402,"Census Tract 1374.02, Los Angeles County, California",255,300,85,15
06037137501,"Census Tract 1375.01, Los Angeles County, California",370,777,47.62,52.38
06037137502,"Census Tract 1375.02, Los Angeles County, California",349,378,92.33,7.670000000000002
