"","STATE","STNAME","AGEGRP","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE"
"73",2,"Alaska",1,"A_A",2626,2450,-176,-6.93,"undercount"
"74",2,"Alaska",1,"A_AIC",4186,4707,521,11.72,"overcount"
"75",2,"Alaska",1,"NHPI_A",514,868,354,51.23,"overcount"
"76",2,"Alaska",1,"NHPI_AIC",942,1580,638,50.59,"overcount"
"77",2,"Alaska",2,"A_A",2779,2785,6,0.22,"overcount"
"78",2,"Alaska",2,"A_AIC",4118,4645,527,12.03,"overcount"
"79",2,"Alaska",2,"NHPI_A",519,829,310,45.99,"overcount"
"80",2,"Alaska",2,"NHPI_AIC",842,1422,580,51.24,"overcount"
"81",2,"Alaska",3,"A_A",2484,2932,448,16.54,"overcount"
"82",2,"Alaska",3,"A_AIC",3820,4540,720,17.22,"overcount"
"83",2,"Alaska",3,"NHPI_A",399,768,369,63.24,"overcount"
"84",2,"Alaska",3,"NHPI_AIC",727,1238,511,52.01,"overcount"
"85",2,"Alaska",4,"A_A",2387,3030,643,23.74,"overcount"
"86",2,"Alaska",4,"A_AIC",3395,4345,950,24.55,"overcount"
"87",2,"Alaska",4,"NHPI_A",415,769,354,59.8,"overcount"
"88",2,"Alaska",4,"NHPI_AIC",684,1143,459,50.25,"overcount"
"89",2,"Alaska",5,"A_A",2604,2898,294,10.69,"overcount"
"90",2,"Alaska",5,"A_AIC",3504,3968,464,12.42,"overcount"
"91",2,"Alaska",5,"NHPI_A",450,850,400,61.54,"overcount"
"92",2,"Alaska",5,"NHPI_AIC",693,1132,439,48.11,"overcount"
"93",2,"Alaska",6,"A_A",2849,2886,37,1.29,"overcount"
"94",2,"Alaska",6,"A_AIC",3614,3763,149,4.04,"overcount"
"95",2,"Alaska",6,"NHPI_A",472,729,257,42.8,"overcount"
"96",2,"Alaska",6,"NHPI_AIC",674,995,321,38.47,"overcount"
"97",2,"Alaska",7,"A_A",2610,2546,-64,-2.48,"undercount"
"98",2,"Alaska",7,"A_AIC",3162,3286,124,3.85,"overcount"
"99",2,"Alaska",7,"NHPI_A",417,621,204,39.31,"overcount"
"100",2,"Alaska",7,"NHPI_AIC",602,810,208,29.46,"overcount"
"101",2,"Alaska",8,"A_A",2682,2886,204,7.33,"overcount"
"102",2,"Alaska",8,"A_AIC",3138,3446,308,9.36,"overcount"
"103",2,"Alaska",8,"NHPI_A",339,464,125,31.13,"overcount"
"104",2,"Alaska",8,"NHPI_AIC",496,623,127,22.7,"overcount"
"105",2,"Alaska",9,"A_A",2539,2946,407,14.84,"overcount"
"106",2,"Alaska",9,"A_AIC",2895,3377,482,15.37,"overcount"
"107",2,"Alaska",9,"NHPI_A",346,441,95,24.14,"overcount"
"108",2,"Alaska",9,"NHPI_AIC",484,570,86,16.32,"overcount"
"109",2,"Alaska",10,"A_A",2706,3117,411,14.12,"overcount"
"110",2,"Alaska",10,"A_AIC",3074,3473,399,12.19,"overcount"
"111",2,"Alaska",10,"NHPI_A",308,421,113,31,"overcount"
"112",2,"Alaska",10,"NHPI_AIC",469,552,83,16.26,"overcount"
"113",2,"Alaska",11,"A_A",2538,2933,395,14.44,"overcount"
"114",2,"Alaska",11,"A_AIC",2861,3265,404,13.19,"overcount"
"115",2,"Alaska",11,"NHPI_A",237,317,80,28.88,"overcount"
"116",2,"Alaska",11,"NHPI_AIC",372,432,60,14.93,"overcount"
"117",2,"Alaska",12,"A_A",2066,2543,477,20.7,"overcount"
"118",2,"Alaska",12,"A_AIC",2281,2572,291,11.99,"overcount"
"119",2,"Alaska",12,"NHPI_A",181,222,41,20.35,"overcount"
"120",2,"Alaska",12,"NHPI_AIC",251,302,51,18.44,"overcount"
"121",2,"Alaska",13,"A_A",1768,1915,147,7.98,"overcount"
"122",2,"Alaska",13,"A_AIC",1872,2033,161,8.25,"overcount"
"123",2,"Alaska",13,"NHPI_A",141,162,21,13.86,"overcount"
"124",2,"Alaska",13,"NHPI_AIC",185,194,9,4.75,"overcount"
"125",2,"Alaska",14,"A_A",1224,1154,-70,-5.89,"undercount"
"126",2,"Alaska",14,"A_AIC",1301,1127,-174,-14.33,"undercount"
"127",2,"Alaska",14,"NHPI_A",78,103,25,27.62,"overcount"
"128",2,"Alaska",14,"NHPI_AIC",107,121,14,12.28,"overcount"
"129",2,"Alaska",15,"A_A",710,773,63,8.5,"overcount"
"130",2,"Alaska",15,"A_AIC",757,785,28,3.63,"overcount"
"131",2,"Alaska",15,"NHPI_A",33,42,9,24,"overcount"
"132",2,"Alaska",15,"NHPI_AIC",50,46,-4,-8.33,"undercount"
"133",2,"Alaska",16,"A_A",562,512,-50,-9.31,"undercount"
"134",2,"Alaska",16,"A_AIC",603,506,-97,-17.49,"undercount"
"135",2,"Alaska",16,"NHPI_A",44,32,-12,-31.58,"undercount"
"136",2,"Alaska",16,"NHPI_AIC",61,40,-21,-41.58,"undercount"
"137",2,"Alaska",17,"A_A",420,363,-57,-14.56,"undercount"
"138",2,"Alaska",17,"A_AIC",466,319,-147,-37.45,"undercount"
"139",2,"Alaska",17,"NHPI_A",29,18,-11,-46.81,"undercount"
"140",2,"Alaska",17,"NHPI_AIC",39,18,-21,-73.68,"undercount"
"141",2,"Alaska",18,"A_A",350,213,-137,-48.67,"undercount"
"142",2,"Alaska",18,"A_AIC",368,194,-174,-61.92,"undercount"
"143",2,"Alaska",18,"NHPI_A",14,6,-8,-80,"undercount"
"144",2,"Alaska",18,"NHPI_AIC",14,12,-2,-15.38,"undercount"
"145",4,"Arizona",1,"A_A",13242,12977,-265,-2.02,"undercount"
"146",4,"Arizona",1,"A_AIC",20355,21537,1182,5.64,"overcount"
"147",4,"Arizona",1,"NHPI_A",1210,1299,89,7.09,"overcount"
"148",4,"Arizona",1,"NHPI_AIC",2681,3013,332,11.66,"overcount"
"149",4,"Arizona",2,"A_A",13991,12986,-1005,-7.45,"undercount"
"150",4,"Arizona",2,"A_AIC",20842,20525,-317,-1.53,"undercount"
"151",4,"Arizona",2,"NHPI_A",1281,1342,61,4.65,"overcount"
"152",4,"Arizona",2,"NHPI_AIC",2780,2866,86,3.05,"overcount"
"153",4,"Arizona",3,"A_A",11028,11998,970,8.43,"overcount"
"154",4,"Arizona",3,"A_AIC",16190,18442,2252,13.01,"overcount"
"155",4,"Arizona",3,"NHPI_A",1088,1311,223,18.59,"overcount"
"156",4,"Arizona",3,"NHPI_AIC",2137,2718,581,23.93,"overcount"
"157",4,"Arizona",4,"A_A",9784,12277,2493,22.6,"overcount"
"158",4,"Arizona",4,"A_AIC",13750,17935,4185,26.42,"overcount"
"159",4,"Arizona",4,"NHPI_A",1105,1460,355,27.68,"overcount"
"160",4,"Arizona",4,"NHPI_AIC",2032,2751,719,30.06,"overcount"
"161",4,"Arizona",5,"A_A",9690,13937,4247,35.95,"overcount"
"162",4,"Arizona",5,"A_AIC",13132,18785,5653,35.42,"overcount"
"163",4,"Arizona",5,"NHPI_A",1028,1615,587,44.42,"overcount"
"164",4,"Arizona",5,"NHPI_AIC",1841,2715,874,38.37,"overcount"
"165",4,"Arizona",6,"A_A",13892,16822,2930,19.08,"overcount"
"166",4,"Arizona",6,"A_AIC",17409,21068,3659,19.02,"overcount"
"167",4,"Arizona",6,"NHPI_A",1155,1578,423,30.95,"overcount"
"168",4,"Arizona",6,"NHPI_AIC",2039,2606,567,24.41,"overcount"
"169",4,"Arizona",7,"A_A",16682,17371,689,4.05,"overcount"
"170",4,"Arizona",7,"A_AIC",19707,21117,1410,6.91,"overcount"
"171",4,"Arizona",7,"NHPI_A",1205,1510,305,22.47,"overcount"
"172",4,"Arizona",7,"NHPI_AIC",2124,2404,280,12.37,"overcount"
"173",4,"Arizona",8,"A_A",17870,18437,567,3.12,"overcount"
"174",4,"Arizona",8,"A_AIC",20340,21632,1292,6.16,"overcount"
"175",4,"Arizona",8,"NHPI_A",1126,1297,171,14.11,"overcount"
"176",4,"Arizona",8,"NHPI_AIC",1800,2024,224,11.72,"overcount"
"177",4,"Arizona",9,"A_A",14915,15327,412,2.72,"overcount"
"178",4,"Arizona",9,"A_AIC",16808,17595,787,4.58,"overcount"
"179",4,"Arizona",9,"NHPI_A",922,1124,202,19.75,"overcount"
"180",4,"Arizona",9,"NHPI_AIC",1492,1703,211,13.21,"overcount"
"181",4,"Arizona",10,"A_A",12649,13380,731,5.62,"overcount"
"182",4,"Arizona",10,"A_AIC",14174,15376,1202,8.14,"overcount"
"183",4,"Arizona",10,"NHPI_A",800,1007,207,22.91,"overcount"
"184",4,"Arizona",10,"NHPI_AIC",1307,1555,248,17.33,"overcount"
"185",4,"Arizona",11,"A_A",10734,11466,732,6.59,"overcount"
"186",4,"Arizona",11,"A_AIC",12002,13065,1063,8.48,"overcount"
"187",4,"Arizona",11,"NHPI_A",690,807,117,15.63,"overcount"
"188",4,"Arizona",11,"NHPI_AIC",1096,1241,145,12.41,"overcount"
"189",4,"Arizona",12,"A_A",8944,9423,479,5.22,"overcount"
"190",4,"Arizona",12,"A_AIC",9838,10602,764,7.48,"overcount"
"191",4,"Arizona",12,"NHPI_A",532,582,50,8.98,"overcount"
"192",4,"Arizona",12,"NHPI_AIC",863,906,43,4.86,"overcount"
"193",4,"Arizona",13,"A_A",7427,7667,240,3.18,"overcount"
"194",4,"Arizona",13,"A_AIC",8039,8461,422,5.12,"overcount"
"195",4,"Arizona",13,"NHPI_A",433,475,42,9.25,"overcount"
"196",4,"Arizona",13,"NHPI_AIC",672,730,58,8.27,"overcount"
"197",4,"Arizona",14,"A_A",5331,5319,-12,-0.23,"undercount"
"198",4,"Arizona",14,"A_AIC",5778,5826,48,0.83,"overcount"
"199",4,"Arizona",14,"NHPI_A",304,309,5,1.63,"overcount"
"200",4,"Arizona",14,"NHPI_AIC",471,471,0,0,"equal"
"201",4,"Arizona",15,"A_A",3938,3944,6,0.15,"overcount"
"202",4,"Arizona",15,"A_AIC",4252,4302,50,1.17,"overcount"
"203",4,"Arizona",15,"NHPI_A",202,197,-5,-2.51,"undercount"
"204",4,"Arizona",15,"NHPI_AIC",297,322,25,8.08,"overcount"
"205",4,"Arizona",16,"A_A",2783,2633,-150,-5.54,"undercount"
"206",4,"Arizona",16,"A_AIC",2984,2876,-108,-3.69,"undercount"
"207",4,"Arizona",16,"NHPI_A",140,107,-33,-26.72,"undercount"
"208",4,"Arizona",16,"NHPI_AIC",234,192,-42,-19.72,"undercount"
"209",4,"Arizona",17,"A_A",1694,1464,-230,-14.57,"undercount"
"210",4,"Arizona",17,"A_AIC",1822,1601,-221,-12.91,"undercount"
"211",4,"Arizona",17,"NHPI_A",73,57,-16,-24.62,"undercount"
"212",4,"Arizona",17,"NHPI_AIC",123,103,-20,-17.7,"undercount"
"213",4,"Arizona",18,"A_A",1397,1028,-369,-30.43,"undercount"
