STNAME,ESTIMATE,MR,MR_COMBO,COMPARISON,PERCENT_DIFF,NUMERIC_DIFF
Oregon,114202,112637,140344,PES_alone_MR_alone,1.379833274,1565
Oregon,114202,112637,140344,PES_alone_MR_combo,-20.54009884,-26142
Pennsylvania,211500,229855,257070,PES_alone_MR_alone,-8.317567491,-18355
Pennsylvania,211500,229855,257070,PES_alone_MR_combo,-19.45066906,-45570
Rhode Island,23628,26474,30366,PES_alone_MR_alone,-11.36082392,-2846
Rhode Island,23628,26474,30366,PES_alone_MR_combo,-24.9583287,-6738
South Carolina,36704,39031,48004,PES_alone_MR_alone,-6.145111243,-2327
South Carolina,36704,39031,48004,PES_alone_MR_combo,-26.67988856,-11300
South Dakota,5059,4728,6445,PES_alone_MR_alone,6.764074793,331
South Dakota,5059,4728,6445,PES_alone_MR_combo,-24.09596662,-1386
Tennessee,57150,60770,73008,PES_alone_MR_alone,-6.139755767,-3620
Tennessee,57150,60770,73008,PES_alone_MR_combo,-24.36730743,-15858
Texas,605950,607128,678432,PES_alone_MR_alone,-0.194216695,-1178
Texas,605950,607128,678432,PES_alone_MR_combo,-11.28667328,-72482
Utah,57439,54608,68910,PES_alone_MR_alone,5.053236588,2831
Utah,57439,54608,68910,PES_alone_MR_combo,-18.15764272,-11471
Vermont,5345,5509,6882,PES_alone_MR_alone,-3.0219274,-164
Vermont,5345,5509,6882,PES_alone_MR_combo,-25.14108121,-1537
Virginia,266189,272283,313284,PES_alone_MR_alone,-2.263441739,-6094
Virginia,266189,272283,313284,PES_alone_MR_combo,-16.25442428,-47095
Washington,356394,355805,431337,PES_alone_MR_alone,0.165403209,589
Washington,356394,355805,431337,PES_alone_MR_combo,-19.02756144,-74943
West Virginia,8999,10055,12604,PES_alone_MR_alone,-11.08428676,-1056
West Virginia,8999,10055,12604,PES_alone_MR_combo,-33.37499421,-3605
Wisconsin,86415,92882,105909,PES_alone_MR_alone,-7.213729176,-6467
Wisconsin,86415,92882,105909,PES_alone_MR_combo,-20.27204093,-19494
Wyoming,4257,3233,4643,PES_alone_MR_alone,27.34312417,1024
Wyoming,4257,3233,4643,PES_alone_MR_combo,-8.674157303,-386
