"","STNAME","CTYNAME","RACE","MR"
"105","AK","Yukon-Koyukuk Census Area","A_AIC",43
"106","AK","Yukon-Koyukuk Census Area","A_A",25
"107","AK","Yukon-Koyukuk Census Area","NHPI_AIC",6
"108","AK","Yukon-Koyukuk Census Area","NHPI_A",3
"109","AL","Autauga County","A_AIC",298
"110","AL","Autauga County","A_A",204
"111","AL","Autauga County","NHPI_AIC",25
"112","AL","Autauga County","NHPI_A",13
"113","AL","Baldwin County","A_AIC",752
"114","AL","Baldwin County","A_A",547
"115","AL","Baldwin County","NHPI_AIC",68
"116","AL","Baldwin County","NHPI_A",38
"117","AL","Barbour County","A_AIC",143
"118","AL","Barbour County","A_A",87
"119","AL","Barbour County","NHPI_AIC",18
"120","AL","Barbour County","NHPI_A",9
"121","AL","Bibb County","A_AIC",25
"122","AL","Bibb County","A_A",17
"123","AL","Bibb County","NHPI_AIC",4
"124","AL","Bibb County","NHPI_A",2
"125","AL","Blount County","A_AIC",133
"126","AL","Blount County","A_A",82
"127","AL","Blount County","NHPI_AIC",23
"128","AL","Blount County","NHPI_A",12
"129","AL","Bullock County","A_AIC",40
"130","AL","Bullock County","A_A",21
"131","AL","Bullock County","NHPI_AIC",3
"132","AL","Bullock County","NHPI_A",2
"133","AL","Butler County","A_AIC",47
"134","AL","Butler County","A_A",38
"135","AL","Butler County","NHPI_AIC",3
"136","AL","Butler County","NHPI_A",0
"137","AL","Calhoun County","A_AIC",858
"138","AL","Calhoun County","A_A",659
"139","AL","Calhoun County","NHPI_AIC",128
"140","AL","Calhoun County","NHPI_A",79
"141","AL","Chambers County","A_AIC",102
"142","AL","Chambers County","A_A",70
"143","AL","Chambers County","NHPI_AIC",10
"144","AL","Chambers County","NHPI_A",0
"145","AL","Cherokee County","A_AIC",69
"146","AL","Cherokee County","A_A",36
"147","AL","Cherokee County","NHPI_AIC",18
"148","AL","Cherokee County","NHPI_A",0
"149","AL","Chilton County","A_AIC",114
"150","AL","Chilton County","A_A",83
"151","AL","Chilton County","NHPI_AIC",11
"152","AL","Chilton County","NHPI_A",6
"153","AL","Choctaw County","A_AIC",11
"154","AL","Choctaw County","A_A",7
"155","AL","Choctaw County","NHPI_AIC",6
"156","AL","Choctaw County","NHPI_A",0
"157","AL","Clarke County","A_AIC",62
"158","AL","Clarke County","A_A",46
"159","AL","Clarke County","NHPI_AIC",7
"160","AL","Clarke County","NHPI_A",1
"161","AL","Clay County","A_AIC",23
"162","AL","Clay County","A_A",14
"163","AL","Clay County","NHPI_AIC",5
"164","AL","Clay County","NHPI_A",3
"165","AL","Cleburne County","A_AIC",33
"166","AL","Cleburne County","A_A",22
"167","AL","Cleburne County","NHPI_AIC",3
"168","AL","Cleburne County","NHPI_A",1
"169","AL","Coffee County","A_AIC",583
"170","AL","Coffee County","A_A",427
"171","AL","Coffee County","NHPI_AIC",77
"172","AL","Coffee County","NHPI_A",49
"173","AL","Colbert County","A_AIC",188
"174","AL","Colbert County","A_A",135
"175","AL","Colbert County","NHPI_AIC",28
"176","AL","Colbert County","NHPI_A",13
"177","AL","Conecuh County","A_AIC",31
"178","AL","Conecuh County","A_A",16
"179","AL","Conecuh County","NHPI_AIC",10
"180","AL","Conecuh County","NHPI_A",7
"181","AL","Coosa County","A_AIC",14
"182","AL","Coosa County","A_A",6
"183","AL","Coosa County","NHPI_AIC",2
"184","AL","Coosa County","NHPI_A",1
"185","AL","Covington County","A_AIC",95
"186","AL","Covington County","A_A",65
"187","AL","Covington County","NHPI_AIC",12
"188","AL","Covington County","NHPI_A",5
"189","AL","Crenshaw County","A_AIC",24
"190","AL","Crenshaw County","A_A",15
